owner_id,full_name,driver_license,address,phone
39,Силантий Феликсович Комаров,7065 472528,"с. Сеймчан, пр. Лазо, д. 7/7, 565452",8 (111) 161-52-80
40,Шилова Тамара Леоновна,4432 802729,"к. Ревда (Сверд.), ул. Высотная, д. 6 стр. 498, 731585",+7 493 689 98 09
41,Ираида Алексеевна Королева,5374 835911,"к. Нижний Новгород, алл. Волгоградская, д. 2/3, 183667",8 254 599 1022
42,Алла Артемовна Дорофеева,2169 738720,"с. Шереметьево, пр. Абрикосовый, д. 28 к. 7, 497840",+7 (690) 034-3244
43,Аверьян Эдуардович Дементьев,3803 660086,"п. Оленек, бул. Угловой, д. 2 стр. 1/7, 715969",8 641 605 29 75
44,Сазонов Вацлав Демьянович,5010 271339,"д. Быково (метеост.), ш. Гоголя, д. 4 к. 3, 818835",8 231 243 2921
45,Мамонтов Семен Фомич,8573 497887,"ст. Ямбург, алл. Щетинкина, д. 577 к. 1, 814770",+7 541 199 8679
46,Вишнякова Алина Петровна,5422 771088,"д. Сортавала, алл. Овражная, д. 2/6 стр. 182, 778892",8 546 659 0515
47,Ларионов Никандр Еремеевич,4598 817870,"к. Ведено, бул. Малый, д. 5 стр. 3/2, 865281",8 850 542 35 73
48,Кудрявцев Герман Артемьевич,6313 983794,"д. Улан-Удэ, пер. Почтовый, д. 3 стр. 3/3, 927065",+7 (794) 738-3473
49,Филимон Феоктистович Суворов,1916 340174,"д. Тулун, алл. Крымская, д. 14 к. 6/9, 814124",8 (826) 137-50-60
50,Мстислав Данилович Блинов,1525 944151,"п. Армавир, ул. Щорса, д. 12 к. 8, 779010",+73289861434
51,Журавлев Панкрат Фокич,6168 520651,"ст. Тамбов, пер. Юбилейный, д. 52 стр. 1/6, 962185",+7 888 880 67 06
52,Зоя Архиповна Ефимова,5386 169403,"п. Яр-Сале, ш. Буденного, д. 60, 277221",8 (043) 030-54-86
53,София Руслановна Максимова,4456 694731,"к. Новомосковск, ш. Толстого, д. 2, 667652",8 (758) 416-16-92
54,Маркова Валентина Артемовна,6155 322955,"к. Светлогорск (Калин.), бул. Кузнецова, д. 67 стр. 1/6, 401658",+7 (029) 702-13-55
55,Ферапонт Александрович Елисеев,9179 514850,"к. Обоянь, ш. Магистральное, д. 68 к. 6/5, 102786",8 (144) 739-4731
56,Богданов Радислав Всеволодович,8517 249811,"ст. Моршанск, наб. Ключевая, д. 5 стр. 62, 132370",8 895 782 9114
57,Самуил Фадеевич Комиссаров,5339 246413,"п. Мокшан, ул. Химиков, д. 9/6 стр. 38, 680182",+72253584143
58,Жданова Ирина Владимировна,5040 881177,"д. Звенигород, пер. Сенной, д. 69 стр. 101, 396907",8 (447) 364-7102
59,Святополк Фомич Ершов,9830 375504,"к. Морозовск, ш. Мелиораторов, д. 3/6 стр. 853, 473210",+76963259532
60,тов. Чернов Леон Эдуардович,8019 711878,"с. Териберка, алл. Рыбацкая, д. 1 к. 847, 801624",8 650 609 8358
61,Никандр Юльевич Савельев,7543 479580,"п. Владимир, наб. Лазо, д. 3 к. 99, 800025",8 (872) 982-59-52
62,Яков Ефимович Капустин,4593 245051,"клх Уэлен, пр. Северный, д. 6 к. 569, 974993",+7 972 896 2309
63,Валерия Георгиевна Соколова,9348 617488,"с. Екатеринбург, бул. Одесский, д. 9/8 к. 428, 786527",8 (585) 497-3348
64,Лаврентий Ермилович Крюков,2489 892495,"к. Сочи, пер. Бульварный, д. 2 к. 7/6, 404157",+77338484219
65,Журавлева Зинаида Альбертовна,1771 214975,"г. Волгодонск, наб. Дорожников, д. 920 к. 86, 345401",83802620672
66,Кира Антоновна Кузнецова,3504 757924,"к. Лодейное Поле, бул. Журавлева, д. 88 к. 4, 527420",8 493 296 6851
67,Валентин Гаврилович Кудрявцев,3621 930555,"п. Азов (Рост.), пр. Заовражный, д. 5/6 к. 1, 530174",+7 (684) 145-93-32
68,Радован Марсович Аксенов,7916 725380,"ст. Котлас, ш. Широкое, д. 9/6 стр. 191, 982258",8 (139) 718-70-72
69,Панова Татьяна Аркадьевна,2040 503457,"клх Апатиты, наб. Школьная, д. 29 к. 265, 170462",+7 (656) 766-18-25
70,Беляков Никодим Валерьянович,7252 724834,"ст. Апрелевка, пр. Новостройка, д. 4/4 к. 6/3, 310690",+7 (311) 907-9030
71,Игорь Григорьевич Симонов,8668 654816,"д. Льгов, ш. 8 Марта, д. 4, 283644",+7 892 687 0568
72,Панкратий Устинович Алексеев,5119 680099,"п. Углегорск, алл. Хвойная, д. 3 к. 1/9, 688263",+73517518304
73,Эрнест Анатольевич Уваров,1188 813328,"ст. Черусти, бул. Тамбовский, д. 4/6 стр. 1, 317393",8 385 467 85 44
74,Сергей Фролович Комаров,2876 814825,"п. Обнинск, пр. Трудовой, д. 12 к. 9, 423536",83785477725
75,Молчанов Трифон Эдгардович,9797 887352,"д. Асбест, ш. Сосновое, д. 462, 203875",+7 997 700 8860
76,Молчанов Кир Ермилович,5371 905934,"ст. Инта, ул. Учительская, д. 93, 546156",8 (933) 410-16-66
77,Павлова Агафья Викторовна,6573 216970,"ст. Рязань, ш. Толстого, д. 480 стр. 89, 014890",+7 (503) 926-14-29
78,Щукин Никита Игнатович,5808 555884,"ст. Быково (метеост.), бул. Новоселов, д. 416 стр. 759, 047735",8 (662) 961-9431
79,Степанов Натан Витальевич,3591 575763,"к. Воткинск, ул. Свердлова, д. 6/5, 212678",8 (861) 015-8199
80,Мария Андреевна Калинина,1053 857168,"ст. Вендинга, пер. Харьковский, д. 36 стр. 54, 721264",8 471 543 79 93
81,Всемил Ефимьевич Иванов,5315 624902,"ст. Юровск, ш. Ворошилова, д. 6/7 к. 64, 752654",8 (935) 646-51-93
82,Некрасова Евгения Тимуровна,3927 632342,"клх Карталы, ш. Мира, д. 367 к. 4, 266179",8 (968) 868-05-89
83,Михайлова Валентина Ефимовна,2743 755674,"клх Элиста, пер. Ушакова, д. 7, 014388",8 (993) 756-7982
84,Аким Харлампьевич Орлов,5889 982554,"г. Гатчина, алл. Тельмана, д. 6 стр. 4/9, 571775",+7 401 051 23 82
85,Суханова Тамара Олеговна,9317 738551,"ст. Пинега, алл. Производственная, д. 7/1 стр. 77, 033419",+7 825 537 14 78
86,Лариса Эльдаровна Колесникова,4258 260263,"к. Нижний Тагил, пер. Коллективный, д. 2 к. 25, 412528",8 692 966 27 82
87,Емельянова Ия Валентиновна,7126 899550,"ст. Североуральск, ул. Гайдара, д. 472 стр. 9/9, 676772",+7 903 404 38 42
88,Татьяна Святославовна Хохлова,3646 665579,"к. Урус-Мартан, пер. Дачный, д. 9/4 к. 2/4, 074517",+7 339 596 29 23
89,Анастасия Феликсовна Шестакова,9689 100599,"к. Лянтор, пер. Черемуховый, д. 126 к. 3, 325367",+7 (946) 671-16-84
90,Шашкова Маргарита Робертовна,6310 612340,"д. Агата, ул. Гафури, д. 2 стр. 4/7, 745458",82975001701
91,Галина Павловна Панова,1319 217301,"п. Дагомыс, наб. Аэродромная, д. 2 стр. 5, 520643",8 110 371 29 38
92,Кузнецова Агафья Львовна,6947 972064,"клх Дагомыс, ул. Курганная, д. 2/2 к. 555, 622189",+7 927 532 6973
93,Комаров Вышеслав Валерьевич,6038 351083,"с. Можга, алл. Энергетическая, д. 538, 438983",8 403 761 37 91
94,Попова Майя Кузьминична,1949 352572,"ст. Хатанга, наб. Коллективная, д. 2/1 к. 404, 068486",8 618 892 41 41
95,Ершова Виктория Тарасовна,2290 189814,"д. Бологое, бул. Николаева, д. 40 к. 861, 421020",+7 (758) 842-52-41
96,Алевтина Леоновна Константинова,8962 955662,"д. Богучар, бул. Магистральный, д. 8/9 к. 1, 925241",81380003075
97,Геннадий Вячеславович Тетерин,2133 897549,"п. Москва, МГУ, пр. Суворова, д. 2, 180238",+7 617 445 1870
98,Кузьма Ефимьевич Гришин,9727 903035,"к. Чокурдах, ш. Привольное, д. 12 к. 1/4, 050641",+7 (836) 702-4103
99,Регина Наумовна Филатова,3060 234628,"клх Вендинга, ул. З.Космодемьянской, д. 26 стр. 462, 456557",+73132912127
100,Орест Валерианович Беляков,8787 676510,"с. Миасс, наб. Виноградная, д. 124 к. 35, 356804",+72067883171
101,Вера Васильевна Попова,3705 377932,"п. Камень-на-Оби, наб. Промышленная, д. 2 к. 813, 151070",+7 (966) 706-62-53
102,Ирина Игоревна Третьякова,9645 736059,"д. Южноуральск, алл. Калинина, д. 7/9 стр. 1/2, 626383",8 (065) 787-5985
103,Дмитрий Адрианович Филиппов,7932 322086,"ст. Лазаревское, ш. Дорожников, д. 4, 133480",+7 (965) 223-9559
104,Филатов Милован Викторович,9835 891952,"д. Миллерово, пр. Почтовый, д. 403, 870593",+7 (525) 002-92-18
105,Анжела Максимовна Крюкова,4295 847581,"к. Махачкала, алл. Авиационная, д. 8/6 к. 68, 926442",+7 (096) 902-95-93
106,Орлова Полина Вениаминовна,6107 518373,"п. Нефтеюганск, алл. Целинная, д. 8 к. 443, 541006",8 (626) 765-86-17
107,Ульяна Дмитриевна Сорокина,7118 559381,"ст. Асбест, ул. 8 Марта, д. 2 к. 752, 181599",8 (062) 962-01-53
108,Надежда Тимуровна Молчанова,9479 573417,"к. Когалым, ул. Пирогова, д. 3/1, 061497",+7 (103) 241-7146
109,Капитон Бенедиктович Носков,2982 359947,"к. Омск, алл. Подстанция, д. 847 к. 4, 902115",8 (693) 806-8687
110,Фролова Олимпиада Кузьминична,4681 167136,"ст. Асино, пер. Братский, д. 372 стр. 33, 616329",+75116868548
111,Агап Федосеевич Макаров,6539 122056,"п. Хасавюрт, пер. Сиреневый, д. 591 стр. 7, 679970",+7 (462) 996-06-53
112,Мухин Карп Марсович,4770 717024,"ст. Медногорск, наб. Победа, д. 532 к. 6/5, 913736",8 (850) 821-48-62
113,Светлана Феликсовна Новикова,4608 107540,"ст. Кандалакша, алл. Спортивная, д. 1/6, 457861",+7 357 972 7985
114,Исидор Бенедиктович Бобров,2163 842225,"г. Жигулевск, ш. Прибрежное, д. 43 стр. 7, 072290",+7 (494) 466-5743
115,Спиридон Тихонович Логинов,1964 340062,"д. Озеры, бул. Запорожский, д. 2 стр. 2/6, 544432",8 (309) 652-0744
116,Милица Натановна Зиновьева,2104 132938,"к. Кизел, пер. Металлургов, д. 9 стр. 3, 417248",+7 (513) 534-65-54
117,Суворова Варвара Руслановна,6413 174299,"с. Каменномостский, ул. Революции, д. 7 стр. 422, 697252",+7 752 500 74 32
118,Яковлева Пелагея Богдановна,9423 349565,"клх Рубцовск, пр. Беляева, д. 1/1 к. 15, 830033",8 421 689 4210
119,Корнил Филиппович Артемьев,5562 801474,"клх Данков, пр. Гайдара, д. 72 к. 333, 098215",+7 648 909 0100
120,Аксенова Нинель Мироновна,8953 324643,"с. Елабуга, бул. Зеленый, д. 7, 849926",+7 891 411 73 93
121,Регина Геннадьевна Ефимова,9834 238739,"п. Аша, пр. Портовый, д. 6/4 стр. 201, 218114",+7 (744) 701-2045
122,Лариса Олеговна Гришина,8744 354801,"ст. Балтийск, ш. Придорожное, д. 65, 941552",+7 667 467 62 12
123,Семенова Галина Борисовна,8749 946721,"ст. Хатанга, пр. Байкальский, д. 6/1 стр. 87, 670145",+7 899 358 8916
124,Крылова Ольга Макаровна,7669 299659,"ст. Усть-Ордынский, ул. Заречная, д. 88 стр. 3/2, 535408",+7 (866) 317-7971
125,Нонна Кузьминична Ковалева,2545 201639,"г. Печора, ул. Советская, д. 599 к. 67, 037589",87571130554
126,Давыдова Валентина Аскольдовна,8062 471507,"п. Поярково, наб. Привольная, д. 71, 735160",81779827080
127,Горбунова Фаина Романовна,7939 531071,"клх Губкин, пр. Космонавтов, д. 7/4, 654722",8 984 858 33 39
128,Зимина Любовь Владимировна,8651 864491,"клх Гатчина, пер. Ильича, д. 9/5 к. 1/9, 062003",+72442043805
129,Валентина Юрьевна Беспалова,1887 806073,"п. Тихорецк, наб. Коммунистическая, д. 7/7 стр. 9, 043973",8 989 334 7212
130,Раиса Васильевна Мельникова,2612 163556,"к. Усть-Кулом, алл. Приморская, д. 1 к. 8, 025909",+77985158328
131,Селезнев Гордей Фёдорович,7596 863587,"к. Кижи, бул. Толстого, д. 6, 398780",+7 573 993 05 61
132,Тимур Еремеевич Козлов,6559 939482,"с. Балашиха, бул. Тупиковый, д. 9 к. 912, 133613",8 (612) 075-0110
133,Максимов Федосий Артёмович,2790 360735,"с. Осташков, бул. Черемушки, д. 6/1 к. 2/9, 919015",8 (144) 914-7660
134,Творимир Гурьевич Кузьмин,4139 299448,"клх Добрянка, бул. Королева, д. 388 к. 700, 435368",+7 (223) 943-12-90
135,Таисия Рубеновна Юдина,9786 570405,"клх Бомнак, ул. Ивановская, д. 6/6 к. 23, 913577",8 949 299 5562
136,Крылов Ефрем Феодосьевич,3296 542374,"п. Надым, пр. Подстанция, д. 5 к. 9/2, 914283",+71108099693
137,Таисия Захаровна Некрасова,4006 392075,"к. Павловский Посад, ш. Ленина, д. 97, 658039",+7 (827) 229-92-75
138,Мишин Севастьян Даниилович,8579 361941,"к. Кировск (Ленин.), бул. Ясный, д. 7, 700518",+74989266591
139,Мельникова Елена Семеновна,2235 564656,"ст. Нефтегорск (Самар.), ш. Невского, д. 882 к. 23, 322259",+7 365 177 73 92
140,Тихонова Акулина Ефимовна,2604 153045,"д. Чулым, алл. Вокзальная, д. 30, 286990",+71379772369
141,Логинов Добромысл Яковлевич,9856 976638,"клх Неплюевка, пер. Верхний, д. 76 к. 11, 886291",+7 (799) 088-11-72
142,София Александровна Самсонова,1241 197793,"к. Балашиха, пер. Карла Либкнехта, д. 77 стр. 2, 247314",88643009818
143,Лапин Елисей Жанович,4872 274389,"г. Елец, бул. Прудный, д. 9 к. 6/5, 368872",8 887 449 5621
144,Нонна Валериевна Комарова,7658 609231,"ст. Находка, пер. Интернациональный, д. 16 стр. 727, 143519",+7 669 849 0277
145,Якушев Спартак Ермилович,8886 324130,"ст. Шатой, пер. Инженерный, д. 60 стр. 30, 465669",+7 (801) 184-8955
146,Ирина Дмитриевна Кошелева,7570 161483,"с. Цимлянск, наб. Ягодная, д. 9/2, 845184",8 (947) 697-3577
147,Алевтина Романовна Андреева,3697 497382,"с. Яшкуль, бул. Угловой, д. 7, 880434",+7 651 827 55 39
148,Евграф Эдуардович Зиновьев,1035 509386,"клх Кондопога, алл. Курганная, д. 63 к. 21, 790807",8 957 947 2846
149,Игнатьев Владимир Антипович,5345 922157,"д. Аршан (Бурят.), наб. Льва Толстого, д. 27 стр. 6/1, 369155",84284347955
150,Родионов Епифан Федосеевич,8454 399105,"ст. Петухово, пр. Осенний, д. 49 к. 943, 632270",+7 (672) 885-74-48
151,Алла Никифоровна Комарова,7930 830429,"п. Красноселькуп, ш. Гаражное, д. 6/5 к. 6, 506159",+7 (998) 245-5877
152,Марина Юрьевна Дмитриева,8973 262316,"ст. Зарайск, ш. Энтузиастов, д. 7/2 стр. 425, 544964",8 (598) 762-20-23
153,Субботина Анжелика Григорьевна,4111 411120,"г. Владивосток, пр. Трактовый, д. 268, 492164",+7 (347) 228-2005
154,Лидия Руслановна Абрамова,4566 161324,"п. Улан-Удэ, пер. Иванова, д. 9/9, 578317",+75642400825
155,Творимир Августович Пахомов,9883 163918,"к. Алдан, ш. Гагарина, д. 90 к. 4, 866326",8 341 638 94 48
156,Надежда Георгиевна Красильникова,6138 159942,"п. Льгов, бул. Макарова, д. 5/8, 502080",+7 (144) 270-31-20
157,тов. Гаврилов Леонтий Эдуардович,1821 712554,"клх Архыз, ул. Краснофлотская, д. 246 к. 3/4, 601367",+7 (037) 183-7645
158,Артемьев Андроник Валерьевич,8811 627276,"клх Макушино, наб. Интернациональная, д. 41, 502491",8 300 979 25 13
159,Тарасов Ян Игоревич,9701 265080,"к. Елатьма, пер. Загородный, д. 47 стр. 9, 730652",+70778487392
160,Маркова Октябрина Игоревна,1931 632496,"д. Елец, наб. Механическая, д. 8 к. 386, 959351",8 (638) 782-9456
161,Макарова Антонина Семеновна,2312 992697,"ст. Губкинский, ш. Речное, д. 81, 109678",89405391037
162,Анжелика Рубеновна Брагина,4044 171849,"д. Пушкин, ш. Майское, д. 9 к. 214, 811386",+7 (383) 928-8619
163,Ратмир Федотович Доронин,2113 808011,"ст. Ирбит, пр. Дарвина, д. 3 стр. 6/6, 566593",88368457760
164,Боброва Фёкла Архиповна,4853 523389,"г. Малгобек, алл. Островского, д. 948, 107522",+75933441969
165,Анжела Леонидовна Вишнякова,2964 697347,"с. Чебаркуль, пер. Чкалова, д. 296, 556613",80604805892
166,Ефрем Витальевич Васильев,5033 707040,"ст. Шали, пер. Революционный, д. 56 стр. 3/3, 179086",+71686227837
167,Филимон Герасимович Шилов,1651 749468,"г. Курган, наб. Родниковая, д. 666 к. 4, 590425",87927033521
168,Зайцев Илья Виленович,2343 539589,"к. Вытегра, пр. Ермака, д. 953 к. 93, 879206",88042043940
169,Авксентий Арсеньевич Колесников,9565 431737,"ст. Всеволожск, наб. 50 лет Победы, д. 96, 579812",+7 (878) 003-8457
170,Глеб Аверьянович Коновалов,5272 314181,"клх Махачкала, пер. Томский, д. 146, 325621",8 893 639 26 49
171,Тит Васильевич Ершов,6147 350280,"ст. Джубга, бул. Театральный, д. 3/3 к. 2, 252056",8 474 231 22 09
172,Кошелева Татьяна Юрьевна,5351 515011,"п. Ардон, ул. Беляева, д. 88 к. 3, 772233",+7 604 633 3127
173,Пелагея Леонидовна Князева,3144 804318,"с. Пинега, пер. Максима Горького, д. 7, 817703",8 (860) 868-0347
174,Лазарь Ермилович Суворов,5915 579434,"к. Элиста, бул. Морской, д. 8/2, 298266",8 702 793 7145
175,Бурова Галина Васильевна,6180 888387,"клх Североморск, наб. Кольцевая, д. 9/3 стр. 9/7, 259222",+7 (064) 474-21-23
176,Фадеев Ипполит Авдеевич,2188 109767,"ст. Тамбей, ш. Садовое, д. 4/4 стр. 8/7, 199038",+79830220502
177,Ульяна Юльевна Петухова,8508 751332,"г. Вуктыл, алл. Алтайская, д. 9 к. 67, 145561",8 814 721 45 86
178,Игнатова Евфросиния Юрьевна,2638 176819,"д. Ярославль, ул. Леваневского, д. 7 стр. 5, 299787",8 (293) 430-10-71
179,Никитина Эмилия Николаевна,9808 323508,"к. Нижнеудинск, ш. Сахалинское, д. 534 стр. 944, 015569",80235577027
180,Рыбаков Терентий Игнатьевич,9288 378082,"клх Белый Яр (Томск.), наб. Куйбышева, д. 639 стр. 2, 405682",89629145046
181,Шашков Изот Марсович,3170 465962,"п. Туапсе, алл. Боровая, д. 1 к. 81, 782357",8 (452) 182-3076
182,Галкина Валерия Александровна,2127 356150,"клх Шадринск, наб. Павлика Морозова, д. 518, 943533",+74857142241
183,Ефремов Федот Якубович,7054 398830,"д. Нижнеудинск, наб. Поперечная, д. 44 стр. 51, 870207",+7 160 166 2997
184,Никифорова Лора Геннадьевна,3584 559469,"д. Гусь-Хрустальный, ш. Семашко, д. 874, 332945",8 255 770 17 15
185,Данила Еремеевич Комиссаров,9900 837715,"д. Волхов, ш. Загородное, д. 9 к. 848, 963938",+7 (761) 539-66-95
186,Фролова Дарья Анатольевна,5956 741390,"д. Шамары, наб. Фестивальная, д. 3/5 к. 2/2, 570132",80227846997
187,Федосеев Лукьян Ефимович,9666 108203,"клх Нефедова, пер. Октябрьский, д. 3/5, 580085",+7 403 696 56 66
188,Еремей Всеволодович Мухин,5905 795613,"д. Оренбург, ш. Марта 8, д. 34 к. 20, 276212",8 796 927 86 87
189,Зиновий Гаврилович Родионов,2697 240814,"ст. Ковров, пер. Угольный, д. 9/6 стр. 809, 197128",+77818913718
190,Ксения Юрьевна Зайцева,5333 221035,"с. Серафимович, пр. Толстого, д. 6/5 стр. 3, 949407",82904904712
191,Якушева Ирина Ждановна,2753 878480,"к. Красноуфимск, бул. Боровой, д. 39, 524372",8 (051) 292-7663
192,Владимирова Глафира Григорьевна,3546 385577,"клх Кулунда, ул. Славянская, д. 7/8, 783667",+72860476580
193,Лукин Мина Феликсович,5616 734210,"к. Курганинск, наб. Черняховского, д. 4/4, 258001",+7 618 175 3443
194,Орехов Вадим Антонович,4450 852470,"клх Голицыно, ш. Мельничное, д. 3/2, 447174",8 542 140 66 50
195,Капитон Вячеславович Быков,6617 313487,"п. Шуя, алл. Победа, д. 728 к. 29, 410119",+77072006425
196,Ульяна Александровна Копылова,5325 629959,"с. Печора, ш. Ленинское, д. 70 стр. 2/9, 546015",8 (517) 432-8063
197,Никита Борисович Евдокимов,9004 363319,"г. Яшалта, бул. Окружной, д. 40 к. 893, 184787",+7 050 506 1387
198,Синклитикия Владиславовна Гришина,1832 196781,"г. Диксон, бул. Степной, д. 1/4 к. 30, 417929",+7 117 993 13 65
199,Милица Леонидовна Ковалева,7939 969634,"ст. Катайск, пер. Ангарский, д. 2, 426258",+7 (739) 021-96-20
200,Анжелика Александровна Иванова,5533 146228,"клх Чусовой, пр. Металлургов, д. 33 к. 9, 632909",+7 (791) 456-08-33
201,Лобанов Валентин Иосипович,1058 449759,"ст. Ялуторовск, алл. Энергетическая, д. 331 стр. 8/3, 005436",+75970108220
202,Виктор Артёмович Самсонов,3143 768061,"д. Челюскин, пр. Выгонный, д. 4 к. 253, 636317",87062397265
203,Молчанов Евлампий Ильясович,5291 269430,"к. Губаха, бул. Таежный, д. 3, 776253",+79292983168
204,Ермолай Харламович Дьячков,8239 678478,"г. Ростов-на-Дону, ш. Лазурное, д. 75 стр. 39, 600780",8 867 177 31 80
205,Исакова Екатерина Владимировна,8007 688153,"п. Верхотурье, пр. Маяковского, д. 17, 726257",+7 165 804 6498
206,Никитина Анжелика Яковлевна,1158 217308,"д. Ногинск (Моск.), ул. Пархоменко, д. 8, 552818",+7 (253) 817-9335
207,Карл Юлианович Федосеев,2232 824586,"г. Благовещенск (Амур.), наб. Докучаева, д. 9/9 к. 978, 795137",+7 162 411 24 12
208,г-н Галкин Азарий Ерофеевич,3442 672092,"с. Нефтеюганск, пр. Колхозный, д. 4 к. 903, 695579",8 (877) 492-4243
209,Константин Анисимович Куликов,1590 975136,"с. Завьялиха, алл. Февральская, д. 32 стр. 23, 592745",+7 (380) 552-57-82
210,Ильина Алевтина Ниловна,7049 710805,"с. Моршанск, ул. 9 мая, д. 5, 492975",+7 702 814 06 93
211,Вадим Зиновьевич Павлов,3426 550664,"ст. Лабинск, ул. Народная, д. 2/9, 375998",+7 562 656 5045
212,Прокофий Афанасьевич Рябов,3088 143860,"ст. Саров (Морд.), алл. Новостройка, д. 3/2 к. 53, 851961",+7 646 287 9232
213,Кира Тимуровна Емельянова,6050 482364,"ст. Черняховск, пр. Надежды, д. 10 к. 54, 146273",+7 147 195 9796
214,Олимпиада Васильевна Давыдова,1653 475190,"п. Черемхово, алл. Суворова, д. 3/6, 045650",+74818321928
215,Лука Ефимьевич Дорофеев,4441 815198,"д. Челюскин, ш. Среднее, д. 528 к. 8, 521328",+7 (389) 888-1671
